Date,Close
11/25/2016,97.73
12/2/2016,97.08
12/9/2016,100.3
12/16/2016,101.16
12/23/2016,103.62
12/30/2016,103.43
1/6/2017,104.51
1/13/2017,104.85
1/20/2017,105.57
1/27/2017,105.51
2/3/2017,106.98
2/10/2017,107.62
2/17/2017,107.25
2/24/2017,108.9
3/3/2017,108.66
3/10/2017,108.93
3/17/2017,109.01
3/24/2017,107.98
3/31/2017,109.25
4/7/2017,109.52
4/13/2017,108.2
4/21/2017,107.4
4/28/2017,108.2
5/5/2017,107.55
5/12/2017,107.07
5/19/2017,111.98
5/26/2017,115.96
6/2/2017,115.88
6/9/2017,114.02
6/16/2017,111.83
6/23/2017,109.81
6/30/2017,107.37
7/7/2017,105.91
7/14/2017,105.47
7/21/2017,106.39
7/28/2017,106.07
8/4/2017,104.86
8/11/2017,105.2
8/18/2017,107.34
8/25/2017,105.16
9/1/2017,105.61
9/8/2017,108.15
9/15/2017,110.5
9/22/2017,106.48
9/29/2017,109.17
10/6/2017,108.65
10/13/2017,110.07
10/20/2017,109.02
10/27/2017,104.08
11/3/2017,105.92
11/10/2017,108.6
11/17/2017,109.1
11/24/2017,107.45
12/1/2017,111.01
12/8/2017,113.2
12/15/2017,114.14
12/22/2017,114.95
12/29/2017,113.51
1/5/2018,112.96
1/12/2018,109.27
1/19/2018,109.37
1/26/2018,111.07
2/2/2018,102.97
2/9/2018,99.67
2/16/2018,100.71
2/23/2018,96.95
3/2/2018,98.87
3/9/2018,100.36
3/16/2018,101.02
3/23/2018,96.06
3/29/2018,98.96
4/6/2018,98.85
4/13/2018,95.96
4/20/2018,92.48
4/27/2018,93.38
5/4/2018,91.78
5/11/2018,92.46
5/18/2018,91.49
5/25/2018,92.03
6/1/2018,90.01
6/8/2018,91.77
6/15/2018,94
6/22/2018,92.67
6/29/2018,93.06
7/6/2018,95.55
7/13/2018,93.99
7/20/2018,91.92
7/27/2018,96.99
8/3/2018,99.16
8/10/2018,97.7
8/17/2018,101.48
8/24/2018,99.77
8/31/2018,100.52
9/7/2018,103.64
9/14/2018,105.97
9/21/2018,103.9
9/28/2018,102
10/5/2018,104.39
10/12/2018,103.41
10/19/2018,106.58
10/26/2018,102.52
11/2/2018,105.84
11/9/2018,108.58
11/16/2018,109.15
11/23/2018,106.21
11/30/2018,108.3
12/7/2018,107.14
12/14/2018,107.87
12/21/2018,105.91
12/28/2018,106.3
1/4/2019,106.08
1/11/2019,106.59
1/18/2019,108.14
1/25/2019,104.3
2/1/2019,104.78
2/8/2019,108.42
2/15/2019,109.35
2/22/2019,110.22
3/1/2019,112.23
3/8/2019,111.24
3/15/2019,110.79
3/22/2019,112
3/29/2019,114.83
4/5/2019,115.87
4/12/2019,116.11
4/18/2019,116.96
4/26/2019,125.17
5/3/2019,121.83
5/10/2019,126.88
5/17/2019,128.9
5/24/2019,130.19
5/31/2019,131.96
6/7/2019,138.01
6/14/2019,138.32
6/21/2019,137.13
6/28/2019,134.03
7/5/2019,138.26
7/12/2019,137.17
7/19/2019,145.18
7/26/2019,152.98
8/2/2019,152.11
8/9/2019,155.48
8/16/2019,155.44
8/23/2019,157.03
8/30/2019,158.48
9/6/2019,158.98
9/13/2019,148.57
9/20/2019,153.94
9/27/2019,153.78
10/4/2019,157.51
10/11/2019,155.31
10/18/2019,153.07
10/25/2019,143.31
11/1/2019,143.07
11/8/2019,140.97
11/15/2019,145.75
11/22/2019,146.84
11/29/2019,148.16
12/6/2019,149.25
12/13/2019,147.15
12/20/2019,147.44
12/27/2019,147.62
